,Object,Star,Mass (M⊕),Radius (R⊕),Density (g/cm3),Period (days),OrbitSemiMajorAxis,ForceOfGravity
0,Earth,Sun (Sol),1.0,1.0,5.514,365.25,51.09677415256779,9.819649737724951
1,Teegarden's Star b,Teegarden's Star,1.05,1.02,,4.91,2.888823409648892,9.910257809122646
2,TOI 700 d,TOI 700,1.72,1.14,5.631,37.4,11.183585649298449,12.996150776305726
3,K2-72e,K2-72,2.21,1.29,5.675,24.2,8.366495413675061,13.040938597663688
4,TRAPPIST-1d,TRAPPIST-1,0.3,0.78,3.39,4.05,2.540797277978777,4.8420363598249265
6,Proxima Centauri b,Proxima Centauri,1.27,1.3,4.016,11.186,5.001687377154275,7.37926341237319
9,Ross 128 b,Ross 128,1.4,1.8,2.424,9.87,4.60127406422849,4.243058528646584
11,TRAPPIST-1e,TRAPPIST-1,0.77,0.91,5.65,6.1,3.3385141657431188,9.13069713566986
21,TRAPPIST-1g,TRAPPIST-1,1.15,1.15,4.186,12.4,5.357322491330987,8.538825858891263
23,Kepler-452b,Kepler-452,5.0,1.63,,384.8,52.904186689128814,18.47952451677698
59,Kepler-737b,Kepler-737,4.5,1.96,,28.5992,9.351958908349692,11.502609282528708
